"","year","ADM0_CODE","ADM0_NAME","ADM1_CODE","ADM1_NAME","DISP_AREA","EXP1_YEAR","STATUS","STR1_YEAR","Shape_Area","Shape_Leng","pdsi_avg","pdsi_max","year1","month"
"311","2019",79,"Ethiopia",1232,"Gambela","NO",3000,"Member State",1994,2.516956145,10.97660878,-8.380340484,1.529411765,201912,"12"
"312","2019",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-2.760588382,1.529411765,201902,"02"
"313","2019",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-6.372060902,1.529411765,201907,"07"
"314","2021",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-8.125142821,1.514705882,202106,"06"
"315","2021",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-5.976122557,1.5,202104,"04"
"316","2021",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,-2.895567164,1.5,202107,"07"
"317","2018",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-3.90687841,1.382352941,201811,"11"
"318","2018",79,"Ethiopia",1237,"Tigray","NO",3000,"Member State",1994,4.332836054,16.70116389,-1.327376078,1.382352941,201807,"07"
"319","2021",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-6.683652183,1.338235294,202103,"03"
"320","2018",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-2.571937505,1.235294118,201805,"05"
"321","2018",79,"Ethiopia",47678,"Oromia","NO",3000,"Member State",1994,26.46278672,56.27474495,-4.054283568,1.235294118,201812,"12"
"322","2020",79,"Ethiopia",1228,"Afar","NO",3000,"Member State",1994,7.901858137,17.19187629,-5.9508377,1.205882353,202002,"02"
"323","2022",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-7.714233622,1.161764706,202204,"04"
"324","2020",79,"Ethiopia",1233,"Hareri","NO",3000,"Member State",1994,0.030516708,0.763939268,-0.086011534,1.161764706,202011,"11"
"325","2022",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-9.621880729,1.132352941,202204,"04"
"326","2021",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-9.662822082,1.117647059,202110,"10"
"327","2021",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,-3.192867715,1.102941176,202105,"05"
"328","2019",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-4.054506408,1.088235294,201905,"05"
"329","2018",79,"Ethiopia",1233,"Hareri","NO",3000,"Member State",1994,0.030516708,0.763939268,0.437273457,1.088235294,201802,"02"
"330","2019",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-8.699967245,1.088235294,201909,"09"
"331","2022",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-9.439087397,1.073529412,202211,"11"
"332","2022",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-9.356062489,1.029411765,202212,"12"
"333","2021",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-8.337497627,0.955882353,202111,"11"
"334","2019",79,"Ethiopia",1229,"Amhara","NO",3000,"Member State",1994,12.87963465,26.99781233,-4.013602691,0.941176471,201904,"04"
"335","2018",79,"Ethiopia",1230,"Beneshangul Gumu","NO",3000,"Member State",1994,4.132826577,15.90196962,-3.561783977,0.941176471,201811,"11"
"336","2018",79,"Ethiopia",1236,"SNNPR","NO",3000,"Member State",1994,8.874419918,24.36957451,-6.302636223,0.941176471,201804,"04"
"337","2020",79,"Ethiopia",1227,"Addis Ababa","NO",3000,"Member State",1994,0.04435639,1.070744784,-3.719849061,0.926470588,202009,"09"
"338","2020",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,-2.249620826,0.926470588,202004,"04"
"339","2022",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-9.93948706,0.897058824,202203,"03"
"340","2022",79,"Ethiopia",1230,"Beneshangul Gumu","NO",3000,"Member State",1994,4.132826577,15.90196962,-9.995292406,0.882352941,202210,"10"
"341","2021",79,"Ethiopia",47679,"Somali","NO",3000,"Member State",1998,25.60629081,36.2466571,-6.988736365,0.882352941,202104,"04"
"342","2020",79,"Ethiopia",1231,"Dire Dawa","NO",3000,"Member State",1998,0.08677634,1.696148857,-0.200617774,0.852941176,202009,"09"
